dataset,seed,model,threshold,RecallH,PrecH,F1H,MacroF1,Kappa,Brier,ECE,PRAUC_High,FP_High,FN_High
GoogleCluster,13,NaiveBayes,0.5,0.8378787878787879,0.907620164126612,0.8713562183455261,0.8576498999368427,0.8024688154638044,0.06233711226171451,0.02409626393341263,0.923303765941393,394,749
GoogleCluster,99,KATS,0.45000000000000007,0.9991341991341991,0.9987018606663782,0.9989179831205367,0.9991676362980416,0.9987039211569319,0.0004093192804460082,0.0006420502028654647,0.999931462444658,6,4
GoogleCluster,99,LightGBM,0.5,0.9993506493506493,0.9987021414665801,0.9990262901655307,0.9992703919503468,0.998833502318884,0.000458959456354075,0.0003417204244904855,0.9999427958845448,6,3
GoogleCluster,99,XGBoost,0.5,0.9989177489177489,0.9984855041107745,0.998701579744644,0.9990271958284818,0.9984447053883182,0.00056194662562703,0.0009339635307066308,0.999952106629231,7,5
GoogleCluster,99,RandomForest,0.5,0.9993506493506493,0.9989182172219818,0.9991343864964294,0.999373157444681,0.9989631369255455,0.0005953694444444445,0.0022691666666666763,0.9999953556239082,5,3
GoogleCluster,99,BalancedRF,0.5,0.9993506493506493,0.9987021414665801,0.9990262901655307,0.9992704300143816,0.9988335623385274,0.0008187305555555556,0.003299722222222209,0.9999935367901401,6,3
GoogleCluster,99,MLP,0.5,0.9939393939393939,0.9971769815418023,0.9955555555555555,0.9963989651944379,0.9944280274624385,0.0022036230193951943,0.0021421165407052682,0.9994964300186491,13,28
GoogleCluster,99,LogReg,0.5,0.9075757575757576,0.9153023357345558,0.9114226714487556,0.9160699149890902,0.8805078876826767,0.04015358184692674,0.03149794690668474,0.9695081149027817,388,427
GoogleCluster,99,NaiveBayes,0.5,0.8354978354978355,0.9359844810863239,0.8828911253430924,0.872258173561489,0.8222460130415561,0.05979831913258956,0.028467302089263763,0.9295963542707951,264,760
GoogleCluster,2026,KATS,0.3500000000000001,0.9997835497835498,0.9989186851211073,0.9993509303331891,0.9995135913371369,0.9992223170635366,0.00028451295555906346,0.0005115172591123629,0.9999977962146963,5,1
GoogleCluster,2026,LightGBM,0.5,0.9993506493506493,0.9989182172219818,0.9991343864964294,0.9993731460300851,0.9989630835717053,0.000331244033816497,0.00038967694838588874,0.9999923104289236,5,3
GoogleCluster,2026,XGBoost,0.5,0.9991341991341991,0.9987018606663782,0.9989179831205367,0.9990993302871126,0.998574313272625,0.0005013333147012833,0.0007849126091318271,0.9999830608956708,6,4
GoogleCluster,2026,RandomForest,0.5,0.9995670995670995,0.9989184512221502,0.9992426701287461,0.9994108246156809,0.9990927240257986,0.00047338333333333334,0.0024697222222222147,0.999998735425364,5,2
GoogleCluster,2026,BalancedRF,0.5,0.9991341991341991,0.9989179831205367,0.9990260794286333,0.9992378389008292,0.998833525752981,0.0006262180555555556,0.0032833333333333395,0.9999979860454296,5,4
GoogleCluster,2026,MLP,0.5,0.9932900432900433,0.9960929021054916,0.9946894982117698,0.9951719040727515,0.992743891806503,0.003063607264551992,0.003178024811479326,0.9994802251035874,18,31
GoogleCluster,2026,LogReg,0.5,0.9151515151515152,0.9028400597907325,0.90895410082769,0.9127129688774046,0.8750934269361603,0.04241445156377146,0.02766981003173809,0.9663201460181815,455,392
GoogleCluster,2026,NaiveBayes,0.5,0.8374458874458874,0.9103529411764706,0.8723788049605411,0.8575086683277808,0.8017666323461091,0.06366599604215953,0.02777122468879167,0.919975599985102,381,751
ITIncident,42,KATS,0.5,0.9411764705882353,0.044398196323274366,0.0847962901623054,0.23156291863466105,0.04006124924151433,0.3070958653660409,0.4486899605593326,0.14997994701332915,2755,8
ITIncident,42,LightGBM,0.5,0.7205882352941176,0.0875,0.15605095541401273,0.3623487576688162,0.10599489890678016,0.16107300892475176,0.2568216003991383,0.24723640956905482,1022,38
ITIncident,42,XGBoost,0.5,0.11764705882352941,0.8421052631578947,0.2064516129032258,0.47793651500878376,0.22299816002634576,0.030989281214050212,0.0052581477527585815,0.3133803796780441,3,120
ITIncident,42,RandomForest,0.5,0.18382352941176472,0.45454545454545453,0.2617801047120419,0.46270677093476104,0.16640775509836114,0.05265406704442088,0.055073958916005666,0.2524834613466932,30,111
ITIncident,42,BalancedRF,0.5,0.6176470588235294,0.10687022900763359,0.1822125813449024,0.3813138669415863,0.11969214663762773,0.1451704283573451,0.270606852443312,0.25294833725405685,702,52
ITIncident,42,MLP,0.5,0.0,0.0,0.0,0.32330956563673313,0.0,0.03690929625185925,0.004251292499018655,0.05505320272794872,0,136
ITIncident,42,LogReg,0.5,0.4117647058823529,0.041666666666666664,0.07567567567567568,0.23566527580104912,0.025537008450020826,0.21821477162347258,0.3934319710723268,0.04042782125172302,1288,80
ITIncident,42,NaiveBayes,0.5,0.0,0.0,0.0,0.32330956563673313,0.0,0.036751772647181435,0.0004835438153625437,0.04947543724411119,0,136
ITIncident,7,KATS,0.5,0.9044117647058824,0.0430672268907563,0.08221925133689839,0.22483827587138935,0.035401280631649934,0.2925611992671731,0.4371949539575198,0.15686196597254232,2733,13
ITIncident,7,LightGBM,0.5,0.7058823529411765,0.09716599190283401,0.1708185053380783,0.3696847686420092,0.11184975259754726,0.15491546940228237,0.24869183422074348,0.19188127467256733,892,40
ITIncident,7,XGBoost,0.5,0.08823529411764706,0.5454545454545454,0.1518987341772152,0.4496756271835723,0.18371217944321316,0.03251151104439778,0.005738656203673094,0.23064203955352372,10,124
ITIncident,7,RandomForest,0.5,0.14705882352941177,0.35714285714285715,0.20833333333333334,0.4368745448242084,0.13539152886547345,0.05518077013229541,0.05791433945429016,0.2001803181985939,36,116
ITIncident,7,BalancedRF,0.5,0.5882352941176471,0.11204481792717087,0.18823529411764706,0.37522266520092046,0.10997384522024778,0.14561377566964562,0.26892169703797997,0.2101928473175667,634,56
ITIncident,7,MLP,0.5,0.0,0.0,0.0,0.32330956563673313,0.0,0.0367770712765094,0.0016614213481535402,0.07417082196741218,0,136
ITIncident,7,LogReg,0.5,0.4411764705882353,0.045317220543806644,0.0821917808219178,0.25518048628574425,0.027693186209585385,0.2194445990567413,0.393976182775003,0.040861182546560654,1264,76
ITIncident,7,NaiveBayes,0.5,0.0,0.0,0.0,0.32330956563673313,0.0,0.03690074205283113,0.0008737643526946269,0.049969790075735196,0,136
ITIncident,13,KATS,0.5,0.9411764705882353,0.041666666666666664,0.0798004987531172,0.20991544783910207,0.032202592790283924,0.3073638076241106,0.44863875953221677,0.14701164618600845,2944,8
ITIncident,13,LightGBM,0.5,0.7720588235294118,0.08830950378469302,0.15849056603773584,0.35721990137364507,0.09946499769765782,0.1662322346751379,0.26270170593404096,0.20338261881815023,1084,31
ITIncident,13,XGBoost,0.5,0.09558823529411764,0.6842105263157895,0.16774193548387098,0.44728750160111935,0.1770772088727176,0.03251526552071236,0.008118234296494263,0.26243457231702194,6,123
ITIncident,13,RandomForest,0.5,0.13970588235294118,0.3114754098360656,0.19289340101522842,0.43280738311460465,0.12966167030825526,0.05524613410248874,0.05814844308547921,0.20785030993120115,42,117
ITIncident,13,BalancedRF,0.5,0.6470588235294118,0.10784313725490197,0.18487394957983194,0.3737241479614741,0.10735011430546548,0.14614427546651107,0.27256171457952455,0.23271066649552294,728,48
ITIncident,13,MLP,0.5,0.0,0.0,0.0,0.32330956563673313,0.0,0.03728333886954711,0.005907951704152442,0.04269095021300801,0,136
ITIncident,13,LogReg,0.5,0.4338235294117647,0.04689984101748808,0.08464849354375897,0.2585173124094194,0.028362207942280948,0.2182937232300647,0.39360532990277264,0.043290404078956436,1199,77
ITIncident,13,NaiveBayes,0.5,0.0,0.0,0.0,0.32330956563673313,0.0,0.036915721478287374,0.0004917308811085979,0.04480485295450368,0,136
ITIncident,99,KATS,0.5,0.9705882352941176,0.04407345575959933,0.08431810923027787,0.21977046053162005,0.03708874009309726,0.30859969432558154,0.4511629587696384,0.1518852841050911,2863,4
ITIncident,99,LightGBM,0.5,0.7573529411764706,0.08818493150684932,0.1579754601226994,0.3505295259614747,0.09813418590422407,0.16877162998596673,0.26599538142103785,0.2176967683243282,1065,33
ITIncident,99,XGBoost,0.5,0.08823529411764706,0.48,0.14906832298136646,0.4275648387482612,0.14677031707398802,0.03262081905891744,0.006558911317604142,0.25535245135034,13,124
ITIncident,99,RandomForest,0.5,0.13970588235294118,0.2753623188405797,0.18536585365853658,0.4186961218814022,0.10448072966715738,0.05736257995410845,0.06027184400388727,0.1678032108281064,50,117
ITIncident,99,BalancedRF,0.5,0.6691176470588235,0.10820451843043995,0.1862845445240532,0.3654707645074429,0.10422016698766423,0.15209706660962596,0.27969169224658047,0.19175634100989658,750,45
ITIncident,99,MLP,0.5,0.0,0.0,0.0,0.3318689686575926,0.013049019473489354,0.03559503503289621,0.0019505614558563515,0.09799193875066019,0,136
ITIncident,99,LogReg,0.5,0.49264705882352944,0.046398891966759004,0.08481012658227848,0.2524928650244334,0.036342167723091734,0.221268858968096,0.3970511345180472,0.04058193028217913,1377,69
ITIncident,99,NaiveBayes,0.5,0.0,0.0,0.0,0.32330956563673313,0.0,0.036782456639237834,0.0006187641757750923,0.04758279899118223,0,136
ITIncident,2026,KATS,0.5,0.9558823529411765,0.04130918334922148,0.0791958574474566,0.20969060166947895,0.035791420967102194,0.30972363442587386,0.4528193853231988,0.20800764420042897,3017,6
ITIncident,2026,LightGBM,0.5,0.6838235294117647,0.08129370629370629,0.1453125,0.3530281477649097,0.09816460717215025,0.1669630316564745,0.2635529209744207,0.23586309573149652,1051,43
ITIncident,2026,XGBoost,0.5,0.09558823529411764,0.7222222222222222,0.16883116883116883,0.4419668657152716,0.16936112422508787,0.03170367029079071,0.005026702405715438,0.31640099359984986,5,123
ITIncident,2026,RandomForest,0.5,0.14705882352941177,0.4166666666666667,0.21739130434782608,0.4325097839408354,0.1194871391892337,0.05621778386900853,0.05984355541803676,0.25050904894354714,28,116
ITIncident,2026,BalancedRF,0.5,0.6323529411764706,0.10736579275905118,0.18356456776947705,0.3698058240739104,0.11072376733429279,0.14875969651528384,0.2778648368813724,0.2732219396544182,715,50
ITIncident,2026,MLP,0.5,0.0,0.0,0.0,0.32330956563673313,0.0,0.036663596129950016,0.008434759794136255,0.06187012317440954,0,136
ITIncident,2026,LogReg,0.5,0.5220588235294118,0.04933981931897151,0.09015873015873016,0.22340352861500237,0.02908630815163371,0.22095925268182356,0.39666876976147886,0.041307409489857075,1368,65
ITIncident,2026,NaiveBayes,0.5,0.0,0.0,0.0,0.32330956563673313,0.0,0.03675698950789261,0.0002902081412355724,0.048894612431227516,0,136
MultiCloud,42,KATS,0.5,0.3283582089552239,0.3142857142857143,0.32116788321167883,0.3541977662870073,0.03280224929709463,0.22352744433166374,0.047283892779538365,0.35070664139617624,48,45
MultiCloud,42,LightGBM,0.5,0.31343283582089554,0.28,0.29577464788732394,0.27386353342752917,-0.08773114286785932,0.27399132689306777,0.21058566573443435,0.32128166468969593,54,46
MultiCloud,42,XGBoost,0.5,0.31343283582089554,0.2727272727272727,0.2916666666666667,0.2792476675148431,-0.08031058929442203,0.2748983501900943,0.20618444348995887,0.311171216573644,56,46
MultiCloud,42,RandomForest,0.5,0.2835820895522388,0.2638888888888889,0.2733812949640288,0.278609898966073,-0.07974356090428514,0.23930316666666665,0.10913333333333332,0.33395963206502294,53,48
MultiCloud,42,BalancedRF,0.5,0.34328358208955223,0.30666666666666664,0.323943661971831,0.3039110452186805,-0.04248696891288861,0.23576741666666665,0.10021666666666666,0.32988735485283005,52,44
MultiCloud,42,MLP,0.5,0.3582089552238806,0.2696629213483146,0.3076923076923077,0.2776156674461759,-0.08027006751687904,0.22214659296682973,0.0213884636534407,0.3431752260708245,65,43
MultiCloud,42,LogReg,0.5,0.3880597014925373,0.32098765432098764,0.35135135135135137,0.32837318316614966,-0.0053644446111715816,0.22390936566118724,0.04287932253080334,0.34125919086744766,55,41
MultiCloud,42,NaiveBayes,0.5,0.5373134328358209,0.3364485981308411,0.41379310344827586,0.3197682553524149,0.0019885191160469162,0.22385907102590766,0.034425031503700125,0.3431746110699144,71,31
MultiCloud,7,KATS,0.40000000000000013,0.3333333333333333,0.36065573770491804,0.3464566929133858,0.36490281372171135,0.047297550729530125,0.22173432321626163,0.04849632311321358,0.3557347901607596,39,44
MultiCloud,7,LightGBM,0.5,0.2878787878787879,0.25675675675675674,0.2714285714285714,0.3108837096587851,-0.03471545325035619,0.2676936505794219,0.18422125067407222,0.30920266219702497,55,47
MultiCloud,7,XGBoost,0.5,0.3333333333333333,0.3055555555555556,0.3188405797101449,0.3454659438728473,0.017696460707858575,0.2677460852360605,0.1615293759045502,0.30828822800625666,50,44
MultiCloud,7,RandomForest,0.5,0.3484848484848485,0.3484848484848485,0.3484848484848485,0.3549675863108699,0.032475811895297246,0.22584174999999998,0.07640000000000001,0.3553691826231357,43,43
MultiCloud,7,BalancedRF,0.5,0.3181818181818182,0.328125,0.3230769230769231,0.3399152006912283,0.009900990099009799,0.23132350000000002,0.0959833333333333,0.3294248778801214,43,45
MultiCloud,7,MLP,0.5,0.30303030303030304,0.3389830508474576,0.32,0.3838866339101332,0.0847368618477814,0.21762679221716727,0.05484223264300505,0.36420967340392685,39,46
MultiCloud,7,LogReg,0.5,0.45454545454545453,0.38461538461538464,0.4166666666666667,0.3801123855868382,0.07789189594422363,0.2173048156318923,0.03350029477883697,0.3751464560527234,48,36
MultiCloud,7,NaiveBayes,0.5,0.4393939393939394,0.3815789473684211,0.4084507042253521,0.3897020151661841,0.08532013795171711,0.21696857352419033,0.036809909738331585,0.3801517849238323,47,37
