dataset,seed,model,true_class,predicted_class,count
GoogleCluster,99,BalancedRF,Low,Low,2498
GoogleCluster,99,BalancedRF,Low,Medium,0
GoogleCluster,99,BalancedRF,Medium,High,5
GoogleCluster,99,BalancedRF,Medium,Low,0
GoogleCluster,99,BalancedRF,Medium,Medium,4876
GoogleCluster,99,MLP,High,High,4592
GoogleCluster,99,MLP,High,Low,13
GoogleCluster,99,MLP,High,Medium,15
GoogleCluster,99,MLP,Low,High,3
GoogleCluster,99,MLP,Low,Low,2495
GoogleCluster,99,MLP,Low,Medium,1
GoogleCluster,99,MLP,Medium,High,10
GoogleCluster,99,MLP,Medium,Low,1
GoogleCluster,99,MLP,Medium,Medium,4870
GoogleCluster,99,LogReg,High,High,4193
GoogleCluster,99,LogReg,High,Low,414
GoogleCluster,99,LogReg,High,Medium,13
GoogleCluster,99,LogReg,Low,High,124
GoogleCluster,99,LogReg,Low,Low,2365
GoogleCluster,99,LogReg,Low,Medium,10
GoogleCluster,99,LogReg,Medium,High,264
GoogleCluster,99,LogReg,Medium,Low,106
GoogleCluster,99,LogReg,Medium,Medium,4511
GoogleCluster,99,NaiveBayes,High,High,3860
GoogleCluster,99,NaiveBayes,High,Low,676
GoogleCluster,99,NaiveBayes,High,Medium,84
GoogleCluster,99,NaiveBayes,Low,High,149
GoogleCluster,99,NaiveBayes,Low,Low,2330
GoogleCluster,99,NaiveBayes,Low,Medium,20
GoogleCluster,99,NaiveBayes,Medium,High,115
GoogleCluster,99,NaiveBayes,Medium,Low,356
GoogleCluster,99,NaiveBayes,Medium,Medium,4410
GoogleCluster,2026,KATS,High,High,4619
GoogleCluster,2026,KATS,High,Low,0
GoogleCluster,2026,KATS,High,Medium,1
GoogleCluster,2026,KATS,Low,High,2
GoogleCluster,2026,KATS,Low,Low,2497
GoogleCluster,2026,KATS,Low,Medium,0
GoogleCluster,2026,KATS,Medium,High,3
GoogleCluster,2026,KATS,Medium,Low,0
GoogleCluster,2026,KATS,Medium,Medium,4878
GoogleCluster,2026,LightGBM,High,High,4617
GoogleCluster,2026,LightGBM,High,Low,0
GoogleCluster,2026,LightGBM,High,Medium,3
GoogleCluster,2026,LightGBM,Low,High,2
GoogleCluster,2026,LightGBM,Low,Low,2497
GoogleCluster,2026,LightGBM,Low,Medium,0
GoogleCluster,2026,LightGBM,Medium,High,3
GoogleCluster,2026,LightGBM,Medium,Low,0
GoogleCluster,2026,LightGBM,Medium,Medium,4878
GoogleCluster,2026,XGBoost,High,High,4616
GoogleCluster,2026,XGBoost,High,Low,2
GoogleCluster,2026,XGBoost,High,Medium,2
GoogleCluster,2026,XGBoost,Low,High,1
GoogleCluster,2026,XGBoost,Low,Low,2497
GoogleCluster,2026,XGBoost,Low,Medium,1
GoogleCluster,2026,XGBoost,Medium,High,5
GoogleCluster,2026,XGBoost,Medium,Low,0
GoogleCluster,2026,XGBoost,Medium,Medium,4876
GoogleCluster,2026,RandomForest,High,High,4618
GoogleCluster,2026,RandomForest,High,Low,1
GoogleCluster,2026,RandomForest,High,Medium,1
