dataset,seed,model,threshold,RecallH,PrecH,F1H,MacroF1,Kappa,Brier,ECE,PRAUC_High,FP_High,FN_High
ITIncident,13,MLP,0.5,0.0,0.0,0.0,0.3233095656367331,0.0,0.0372833388695471,0.0059079517041524,0.042690950213008,0,136
ITIncident,13,LogReg,0.5,0.4338235294117647,0.046899841017488,0.0846484935437589,0.2585173124094194,0.0283622079422809,0.2182937232300647,0.3936053299027726,0.0432904040789564,1199,77
ITIncident,13,NaiveBayes,0.5,0.0,0.0,0.0,0.3233095656367331,0.0,0.0369157214782873,0.0004917308811085,0.0448048529545036,0,136
ITIncident,99,KATS,0.5,0.9705882352941176,0.0440734557595993,0.0843181092302778,0.21977046053162,0.0370887400930972,0.3085996943255815,0.4511629587696384,0.1518852841050911,2863,4
ITIncident,99,LightGBM,0.5,0.7573529411764706,0.0881849315068493,0.1579754601226994,0.3505295259614747,0.098134185904224,0.1687716299859667,0.2659953814210378,0.2176967683243282,1065,33
ITIncident,99,XGBoost,0.5,0.088235294117647,0.48,0.1490683229813664,0.4275648387482612,0.146770317073988,0.0326208190589174,0.0065589113176041,0.25535245135034,13,124
ITIncident,99,RandomForest,0.5,0.1397058823529411,0.2753623188405797,0.1853658536585365,0.4186961218814022,0.1044807296671573,0.0573625799541084,0.0602718440038872,0.1678032108281064,50,117
ITIncident,99,BalancedRF,0.5,0.6691176470588235,0.1082045184304399,0.1862845445240532,0.3654707645074429,0.1042201669876642,0.1520970666096259,0.2796916922465804,0.1917563410098965,750,45
ITIncident,99,MLP,0.5,0.0,0.0,0.0,0.3318689686575926,0.0130490194734893,0.0355950350328962,0.0019505614558563,0.0979919387506601,0,136
ITIncident,99,LogReg,0.5,0.4926470588235294,0.046398891966759,0.0848101265822784,0.2524928650244334,0.0363421677230917,0.221268858968096,0.3970511345180472,0.0405819302821791,1377,69
ITIncident,99,NaiveBayes,0.5,0.0,0.0,0.0,0.3233095656367331,0.0,0.0367824566392378,0.000618764175775,0.0475827989911822,0,136
ITIncident,2026,KATS,0.5,0.9558823529411764,0.0413091833492214,0.0791958574474566,0.2096906016694789,0.0357914209671021,0.3097236344258738,0.4528193853231988,0.2080076442004289,3017,6
ITIncident,2026,LightGBM,0.5,0.6838235294117647,0.0812937062937062,0.1453125,0.3530281477649097,0.0981646071721502,0.1669630316564745,0.2635529209744207,0.2358630957314965,1051,43
ITIncident,2026,XGBoost,0.5,0.0955882352941176,0.7222222222222222,0.1688311688311688,0.4419668657152716,0.1693611242250878,0.0317036702907907,0.0050267024057154,0.3164009935998498,5,123
ITIncident,2026,RandomForest,0.5,0.1470588235294117,0.4166666666666667,0.217391304347826,0.4325097839408354,0.1194871391892337,0.0562177838690085,0.0598435554180367,0.2505090489435471,28,116
ITIncident,2026,BalancedRF,0.5,0.6323529411764706,0.1073657927590511,0.183564567769477,0.3698058240739104,0.1107237673342927,0.1487596965152838,0.2778648368813724,0.2732219396544182,715,50
ITIncident,2026,MLP,0.5,0.0,0.0,0.0,0.3233095656367331,0.0,0.03666359612995,0.0084347597941362,0.0618701231744095,0,136
ITIncident,2026,LogReg,0.5,0.5220588235294118,0.0493398193189715,0.0901587301587301,0.2234035286150023,0.0290863081516337,0.2209592526818235,0.3966687697614788,0.041307409489857,1368,65
ITIncident,2026,NaiveBayes,0.5,0.0,0.0,0.0,0.3233095656367331,0.0,0.0367569895078926,0.0002902081412355,0.0488946124312275,0,136
MultiCloud,42,KATS,0.5,0.3283582089552239,0.3142857142857143,0.3211678832116788,0.3541977662870073,0.0328022492970946,0.2235274443316637,0.0472838927795383,0.3507066413961762,48,45
MultiCloud,42,LightGBM,0.5,0.3134328358208955,0.28,0.2957746478873239,0.2738635334275291,-0.0877311428678593,0.2739913268930677,0.2105856657344343,0.3212816646896959,54,46
MultiCloud,42,XGBoost,0.5,0.3134328358208955,0.2727272727272727,0.2916666666666667,0.2792476675148431,-0.080310589294422,0.2748983501900943,0.2061844434899588,0.311171216573644,56,46
MultiCloud,42,RandomForest,0.5,0.2835820895522388,0.2638888888888889,0.2733812949640288,0.278609898966073,-0.0797435609042851,0.2393031666666666,0.1091333333333333,0.3339596320650229,53,48
MultiCloud,42,BalancedRF,0.5,0.3432835820895522,0.3066666666666666,0.323943661971831,0.3039110452186805,-0.0424869689128886,0.2357674166666666,0.1002166666666666,0.32988735485283,52,44
MultiCloud,42,MLP,0.5,0.3582089552238806,0.2696629213483146,0.3076923076923077,0.2776156674461759,-0.080270067516879,0.2221465929668297,0.0213884636534407,0.3431752260708245,65,43
MultiCloud,42,LogReg,0.5,0.3880597014925373,0.3209876543209876,0.3513513513513513,0.3283731831661496,-0.0053644446111715,0.2239093656611872,0.0428793225308033,0.3412591908674476,55,41
MultiCloud,42,NaiveBayes,0.5,0.5373134328358209,0.3364485981308411,0.4137931034482758,0.3197682553524149,0.0019885191160469,0.2238590710259076,0.0344250315037001,0.3431746110699144,71,31
MultiCloud,7,KATS,0.4000000000000001,0.3333333333333333,0.360655737704918,0.3464566929133858,0.3649028137217113,0.0472975507295301,0.2217343232162616,0.0484963231132135,0.3557347901607596,39,44
MultiCloud,7,LightGBM,0.5,0.2878787878787879,0.2567567567567567,0.2714285714285714,0.3108837096587851,-0.0347154532503561,0.2676936505794219,0.1842212506740722,0.3092026621970249,55,47
MultiCloud,7,XGBoost,0.5,0.3333333333333333,0.3055555555555556,0.3188405797101449,0.3454659438728473,0.0176964607078585,0.2677460852360605,0.1615293759045502,0.3082882280062566,50,44
MultiCloud,7,RandomForest,0.5,0.3484848484848485,0.3484848484848485,0.3484848484848485,0.3549675863108699,0.0324758118952972,0.2258417499999999,0.0764,0.3553691826231357,43,43
MultiCloud,7,BalancedRF,0.5,0.3181818181818182,0.328125,0.3230769230769231,0.3399152006912283,0.0099009900990097,0.2313235,0.0959833333333333,0.3294248778801214,43,45
MultiCloud,7,MLP,0.5,0.303030303030303,0.3389830508474576,0.32,0.3838866339101332,0.0847368618477814,0.2176267922171672,0.054842232643005,0.3642096734039268,39,46
MultiCloud,7,LogReg,0.5,0.4545454545454545,0.3846153846153846,0.4166666666666667,0.3801123855868382,0.0778918959442236,0.2173048156318923,0.0335002947788369,0.3751464560527234,48,36
MultiCloud,7,NaiveBayes,0.5,0.4393939393939394,0.3815789473684211,0.4084507042253521,0.3897020151661841,0.0853201379517171,0.2169685735241903,0.0368099097383315,0.3801517849238323,47,37
MultiCloud,13,KATS,0.5,0.4925373134328358,0.3402061855670103,0.4024390243902439,0.3351486639178823,0.0238408109630187,0.2199239524152532,0.042258738182372,0.4139649047469481,64,34
MultiCloud,13,LightGBM,0.5,0.3283582089552239,0.3142857142857143,0.3211678832116788,0.3048352809872841,-0.0425260631515787,0.2743071298826907,0.1964287693383999,0.3287568288049833,48,45
MultiCloud,13,XGBoost,0.5,0.2985074626865671,0.3125,0.3053435114503817,0.2889663556686457,-0.0653062755542217,0.279378624805099,0.19997492150714,0.2944192404816164,44,47
MultiCloud,13,RandomForest,0.5,0.3432835820895522,0.3538461538461538,0.3484848484848485,0.3251168400422132,-0.0124493775311236,0.2333846666666666,0.0987833333333333,0.3633985425552108,42,44
MultiCloud,13,BalancedRF,0.5,0.3432835820895522,0.3150684931506849,0.3285714285714285,0.2797146703775356,-0.0797840431913616,0.2314770833333333,0.10065,0.3734115216116201,50,44
