dataset,seed,model,class_index,bin,count,mean_confidence,empirical_frequency
GoogleCluster,7,LightGBM,1,2,0,,
GoogleCluster,7,LightGBM,1,3,0,,
GoogleCluster,7,LightGBM,1,4,0,,
GoogleCluster,7,LightGBM,1,5,0,,
GoogleCluster,7,LightGBM,1,6,3,0.6307111496494155,0.6666666666666666
GoogleCluster,7,LightGBM,1,7,1,0.7947457583960366,0.0
GoogleCluster,7,LightGBM,1,8,1,0.8547564251151544,0.0
GoogleCluster,7,LightGBM,1,9,2496,0.999918780958664,1.0
GoogleCluster,7,LightGBM,2,0,7118,0.00029753464813004525,0.0008429334082607474
GoogleCluster,7,LightGBM,2,1,4,0.11485315155814829,0.0
GoogleCluster,7,LightGBM,2,2,2,0.2592338937799539,0.0
GoogleCluster,7,LightGBM,2,3,2,0.30924907489877645,0.5
GoogleCluster,7,LightGBM,2,4,0,,
GoogleCluster,7,LightGBM,2,5,1,0.5199444359346265,1.0
GoogleCluster,7,LightGBM,2,6,1,0.637412805458984,1.0
GoogleCluster,7,LightGBM,2,7,0,,
GoogleCluster,7,LightGBM,2,8,2,0.8493640028877314,1.0
GoogleCluster,7,LightGBM,2,9,4870,0.999608661697523,1.0
GoogleCluster,7,XGBoost,0,0,7354,0.0008110968046821654,0.0
GoogleCluster,7,XGBoost,0,1,12,0.12923450767993927,0.16666666666666666
GoogleCluster,7,XGBoost,0,2,2,0.28613966703414917,0.0
GoogleCluster,7,XGBoost,0,3,4,0.35651105642318726,0.5
GoogleCluster,7,XGBoost,0,4,1,0.44216325879096985,0.0
GoogleCluster,7,XGBoost,0,5,3,0.5412909388542175,0.3333333333333333
GoogleCluster,7,XGBoost,0,6,3,0.6482098698616028,0.6666666666666666
GoogleCluster,7,XGBoost,0,7,9,0.746393620967865,0.8888888888888888
GoogleCluster,7,XGBoost,0,8,11,0.8742837309837341,1.0
GoogleCluster,7,XGBoost,0,9,4601,0.998418390750885,0.9984785916105194
GoogleCluster,7,XGBoost,1,0,9494,0.0002513539220672101,0.00010532968190436065
GoogleCluster,7,XGBoost,1,1,0,,
GoogleCluster,7,XGBoost,1,2,4,0.25713831186294556,0.0
GoogleCluster,7,XGBoost,1,3,1,0.38980749249458313,0.0
GoogleCluster,7,XGBoost,1,4,0,,
GoogleCluster,7,XGBoost,1,5,0,,
GoogleCluster,7,XGBoost,1,6,2,0.6377977728843689,0.5
GoogleCluster,7,XGBoost,1,7,2,0.710297703742981,1.0
GoogleCluster,7,XGBoost,1,8,3,0.8505231738090515,0.3333333333333333
GoogleCluster,7,XGBoost,1,9,2494,0.9993239641189575,1.0
GoogleCluster,7,XGBoost,2,0,7110,0.0008545491728000343,0.0008438818565400844
GoogleCluster,7,XGBoost,2,1,8,0.12927837669849396,0.0
GoogleCluster,7,XGBoost,2,2,6,0.2376127690076828,0.16666666666666666
GoogleCluster,7,XGBoost,2,3,1,0.32765331864356995,1.0
GoogleCluster,7,XGBoost,2,4,3,0.45831480622291565,0.6666666666666666
GoogleCluster,7,XGBoost,2,5,1,0.54779452085495,1.0
GoogleCluster,7,XGBoost,2,6,2,0.6447551250457764,0.5
GoogleCluster,7,XGBoost,2,7,0,,
GoogleCluster,7,XGBoost,2,8,9,0.8703349232673645,1.0
GoogleCluster,7,XGBoost,2,9,4860,0.9990005493164062,1.0
GoogleCluster,7,RandomForest,0,0,7337,0.0012137113261551044,0.0
GoogleCluster,7,RandomForest,0,1,22,0.14454545454545456,0.0
GoogleCluster,7,RandomForest,0,2,6,0.2383333333333333,0.0
GoogleCluster,7,RandomForest,0,3,9,0.35777777777777775,0.2222222222222222
GoogleCluster,7,RandomForest,0,4,2,0.4875,1.0
GoogleCluster,7,RandomForest,0,5,4,0.54125,0.75
GoogleCluster,7,RandomForest,0,6,10,0.6435,0.9
GoogleCluster,7,RandomForest,0,7,17,0.7452941176470588,0.7647058823529411
GoogleCluster,7,RandomForest,0,8,24,0.8579166666666667,0.9166666666666666
GoogleCluster,7,RandomForest,0,9,4569,0.9974513022543225,1.0
GoogleCluster,7,RandomForest,1,0,9485,0.0007743806009488666,0.00010542962572482868
GoogleCluster,7,RandomForest,1,1,9,0.12944444444444445,0.0
GoogleCluster,7,RandomForest,1,2,2,0.23,0.0
GoogleCluster,7,RandomForest,1,3,4,0.36,0.25
GoogleCluster,7,RandomForest,1,4,1,0.48,0.0
GoogleCluster,7,RandomForest,1,5,2,0.5375000000000001,0.0
GoogleCluster,7,RandomForest,1,6,1,0.61,1.0
GoogleCluster,7,RandomForest,1,7,2,0.7475,1.0
GoogleCluster,7,RandomForest,1,8,7,0.852142857142857,1.0
GoogleCluster,7,RandomForest,1,9,2487,0.9983293124246081,1.0
GoogleCluster,7,RandomForest,2,0,7084,0.0015887916431394694,0.0
GoogleCluster,7,RandomForest,2,1,22,0.14181818181818184,0.18181818181818182
GoogleCluster,7,RandomForest,2,2,12,0.24333333333333332,0.16666666666666666
GoogleCluster,7,RandomForest,2,3,6,0.3291666666666667,0.0
GoogleCluster,7,RandomForest,2,4,2,0.43,0.5
GoogleCluster,7,RandomForest,2,5,2,0.56,1.0
GoogleCluster,7,RandomForest,2,6,3,0.655,1.0
GoogleCluster,7,RandomForest,2,7,6,0.7533333333333333,1.0
GoogleCluster,7,RandomForest,2,8,23,0.8528260869565218,1.0
GoogleCluster,7,RandomForest,2,9,4840,0.9985216942148759,1.0
GoogleCluster,7,BalancedRF,0,0,7316,0.001583515582285402,0.0
GoogleCluster,7,BalancedRF,0,1,33,0.14575757575757578,0.0
GoogleCluster,7,BalancedRF,0,2,13,0.24576923076923077,0.07692307692307693
GoogleCluster,7,BalancedRF,0,3,10,0.353,0.2
GoogleCluster,7,BalancedRF,0,4,5,0.469,1.0
GoogleCluster,7,BalancedRF,0,5,4,0.54125,0.25
GoogleCluster,7,BalancedRF,0,6,16,0.651875,0.75
GoogleCluster,7,BalancedRF,0,7,19,0.7573684210526315,0.8947368421052632
GoogleCluster,7,BalancedRF,0,8,49,0.8625510204081631,0.9591836734693877
GoogleCluster,7,BalancedRF,0,9,4535,0.9966703417861079,1.0
GoogleCluster,7,BalancedRF,1,0,9469,0.0011648537332347663,0.0
GoogleCluster,7,BalancedRF,1,1,20,0.1365,0.05
GoogleCluster,7,BalancedRF,1,2,6,0.2125,0.0
GoogleCluster,7,BalancedRF,1,3,0,,
GoogleCluster,7,BalancedRF,1,4,5,0.44699999999999995,0.2
GoogleCluster,7,BalancedRF,1,5,2,0.5475000000000001,0.0
GoogleCluster,7,BalancedRF,1,6,2,0.61,0.5
GoogleCluster,7,BalancedRF,1,7,2,0.76,1.0
GoogleCluster,7,BalancedRF,1,8,7,0.8564285714285714,1.0
GoogleCluster,7,BalancedRF,1,9,2487,0.9985002010454362,1.0
GoogleCluster,7,BalancedRF,2,0,7064,0.002044875424688562,0.0
GoogleCluster,7,BalancedRF,2,1,43,0.13720930232558137,0.09302325581395349
GoogleCluster,7,BalancedRF,2,2,11,0.2559090909090909,0.18181818181818182
GoogleCluster,7,BalancedRF,2,3,7,0.33571428571428574,0.14285714285714285
GoogleCluster,7,BalancedRF,2,4,4,0.43374999999999997,0.75
GoogleCluster,7,BalancedRF,2,5,4,0.55625,1.0
GoogleCluster,7,BalancedRF,2,6,4,0.6725000000000001,1.0
GoogleCluster,7,BalancedRF,2,7,18,0.7494444444444445,1.0
GoogleCluster,7,BalancedRF,2,8,29,0.8517241379310346,1.0
GoogleCluster,7,BalancedRF,2,9,4816,0.9976463870431893,1.0
GoogleCluster,7,MLP,0,0,7332,0.0005085695252297214,0.0009547190398254228
GoogleCluster,7,MLP,0,1,19,0.13722279475676227,0.0
GoogleCluster,7,MLP,0,2,9,0.2446402779685738,0.1111111111111111
GoogleCluster,7,MLP,0,3,3,0.33298262118631555,0.0
GoogleCluster,7,MLP,0,4,6,0.4606161258637799,0.3333333333333333
GoogleCluster,7,MLP,0,5,2,0.5561888017794105,0.0
GoogleCluster,7,MLP,0,6,9,0.6537596314022456,0.5555555555555556
GoogleCluster,7,MLP,0,7,12,0.7405791422204352,0.9166666666666666
